case,language,type,file,llm_evaluation,raw_text_response
medicine_3,english,delete,Case_3_Medicine_English_delete_1.csv,3,3
medicine_3,english,delete,Case_3_Medicine_English_delete_2.csv,3,3
medicine_3,english,delete,Case_3_Medicine_English_delete_3.csv,3,3
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_1.csv,3,3
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_3.csv,5,5
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_2.csv,4,4
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_3.csv,5,5
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_2.csv,5,5
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_1.csv,3,3
medicine_2,english,delete,Case_2_Medicine_English_summary_delete_1.csv,2,2
medicine_2,english,delete,Case_2_Medicine_English_summary_delete_3.csv,3,3
medicine_2,english,delete,Case_2_Medicine_English_summary_delete_2.csv,3,3
medicine_2,english,modify,Case_2_Medicine_English_summary_mod_2.csv,4,4
medicine_2,english,modify,Case_2_Medicine_English_summary_mod_1.csv,2,2
medicine_2,english,modify,Case_2_Medicine_English_summary_mod_3.csv,4,4
medicine_2,english,synonyms,Case_2_Medicine_English_summary_synonyms_2.csv,4,4
medicine_2,english,synonyms,Case_2_Medicine_English_summary_synonyms_1.csv,20,20
medicine_2,english,synonyms,Case_2_Medicine_English_summary_synonyms_3.csv,4,4
medicine_4,english,delete,Case_4_Medicine_English_summary_delete_1.csv,2,2
medicine_4,english,delete,Case_4_Medicine_English_summary_delete_3.csv,4,4
medicine_4,english,delete,Case_4_Medicine_English_summary_delete_2.csv,3,3
medicine_4,english,modify,Case_4_Medicine_English_summary_mod_3.csv,5,5
medicine_4,english,modify,Case_4_Medicine_English_summary_mod_2.csv,3,3
medicine_4,english,modify,Case_4_Medicine_English_summary_mod_1.csv,2,2
medicine_4,english,synonyms,Case_4_Medicine_English_summary_synonyms_1.csv,2,2
medicine_4,english,synonyms,Case_4_Medicine_English_summary_synonyms_2.csv,3,3
medicine_4,english,synonyms,Case_4_Medicine_English_summary_synonyms_3.csv,3,3
medicine_5,english,delete,Case_5_Medicine_English_summary_delete_2.csv,2,2
medicine_5,english,delete,Case_5_Medicine_English_summary_delete_1.csv,2,2
medicine_5,english,delete,Case_5_Medicine_English_summary_delete_3.csv,3,3
medicine_5,english,modify,Case_5_Medicine_English_mod_3.csv,4,4
medicine_5,english,modify,Case_5_Medicine_English_mod_2.csv,4,4
medicine_5,english,modify,Case_5_Medicine_English_mod_1.csv,3,3
medicine_5,english,synonyms,Case_5_Medicine_English_summary_synonyms_2.csv,3,3
medicine_5,english,synonyms,Case_5_Medicine_English_summary_synonyms_1.csv,2,2
medicine_5,english,synonyms,Case_5_Medicine_English_summary_synonyms_3.csv,4,4
medicine_1,english,delete,Case_1_Medicine_English_summary_delete_3.csv,3,3
medicine_1,english,delete,Case_1_Medicine_English_summary_delete_2.csv,0,0
medicine_1,english,delete,Case_1_Medicine_English_summary_delete_1.csv,0,0
medicine_1,english,modify,Case_1_Medicine_English_summary_mod_1.csv,3,3
medicine_1,english,modify,Case_1_Medicine_English_summary_mod_3.csv,4,4
medicine_1,english,modify,Case_1_Medicine_English_summary_mod_2.csv,3,3
medicine_1,english,synonyms,Case_1_Medicine_English_summary_synonyms_2.csv,3,3
medicine_1,english,synonyms,Case_1_Medicine_English_summary_synonyms_3.csv,4,4
medicine_1,english,synonyms,Case_1_Medicine_English_summary_synonyms_1.csv,2,2
medicine_3,finnish,delete,Case_3_Medicine_Finnish_delete_2.csv,2,2
medicine_3,finnish,delete,Case_3_Medicine_Finnish_delete_1.csv,2,2
medicine_3,finnish,delete,Case_3_Medicine_Finnish_delete_3.csv,3,3
medicine_3,finnish,modify,Case_3_Medicine_Finnish_summary_mod_2.csv,4,4
medicine_3,finnish,modify,Case_3_Medicine_Finnish_summary_mod_3.csv,4,4
medicine_3,finnish,modify,Case_3_Medicine_Finnish_summary_mod_1.csv,2,2
medicine_3,finnish,synonyms,Case_3_Medicine_Finnish_summary_synonyms_3.csv,4,4
medicine_3,finnish,synonyms,Case_3_Medicine_Finnish_summary_synonyms_2.csv,2,2
medicine_3,finnish,synonyms,Case_3_Medicine_Finnish_summary_synonyms_1.csv,11,11
medicine_2,finnish,delete,Case_2_Medicine_Finnish_summary_delete_3.csv,2,2
medicine_2,finnish,delete,Case_2_Medicine_Finnish_summary_delete_2.csv,3,3
medicine_2,finnish,delete,Case_2_Medicine_Finnish_summary_delete_1.csv,2,2
medicine_2,finnish,modify,Case_2_Medicine_Finnish_summary_mod_3.csv,5,5
medicine_2,finnish,modify,Case_2_Medicine_Finnish_summary_mod_1.csv,2,2
medicine_2,finnish,modify,Case_2_Medicine_Finnish_summary_mod_2.csv,3,3
medicine_2,finnish,synonyms,Case_2_Medicine_Finnish_summary_synonyms_3.csv,3,3
medicine_2,finnish,synonyms,Case_2_Medicine_Finnish_summary_synonyms_1.csv,2,2
medicine_2,finnish,synonyms,Case_2_Medicine_Finnish_summary_synonyms_2.csv,10,10
medicine_4,finnish,delete,Case_4_Medicine_Finnish_summary_delete_3.csv,2,2
medicine_4,finnish,delete,Case_4_Medicine_Finnish_summary_delete_2.csv,1,1
medicine_4,finnish,delete,Case_4_Medicine_Finnish_summary_delete_1.csv,1,1
medicine_4,finnish,modify,Case_4_Medicine_Finnish_summary_mod_3.csv,3,3
medicine_4,finnish,modify,Case_4_Medicine_Finnish_summary_mod_1.csv,2,2
