case,language,type,file,llm_evaluation
medicine_5,english,delete,Case_5_Medicine_English_summary_delete_3.csv,15
medicine_5,english,delete,Case_5_Medicine_English_summary_delete_2.csv,11
medicine_5,english,delete,Case_5_Medicine_English_summary_delete_1.csv,5
medicine_5,english,modify,Case_5_Medicine_English_mod_1.csv,5
medicine_5,english,modify,Case_5_Medicine_English_mod_2.csv,12
medicine_5,english,modify,Case_5_Medicine_English_mod_3.csv,21
medicine_5,english,synonyms,Case_5_Medicine_English_summary_synonyms_2.csv,0
medicine_5,english,synonyms,Case_5_Medicine_English_summary_synonyms_1.csv,0
medicine_5,english,synonyms,Case_5_Medicine_English_summary_synonyms_3.csv,0
medicine_4,english,delete,Case_4_Medicine_English_summary_delete_1.csv,5
medicine_4,english,delete,Case_4_Medicine_English_summary_delete_2.csv,9
medicine_4,english,delete,Case_4_Medicine_English_summary_delete_3.csv,14
medicine_4,english,modify,Case_4_Medicine_English_summary_mod_2.csv,12
medicine_4,english,modify,Case_4_Medicine_English_summary_mod_1.csv,5
medicine_4,english,modify,Case_4_Medicine_English_summary_mod_3.csv,14
medicine_4,english,synonyms,Case_4_Medicine_English_summary_synonyms_2.csv,0
medicine_4,english,synonyms,Case_4_Medicine_English_summary_synonyms_3.csv,0
medicine_4,english,synonyms,Case_4_Medicine_English_summary_synonyms_1.csv,0
medicine_1,english,delete,Case_1_Medicine_English_summary_delete_2.csv,12
medicine_1,english,delete,Case_1_Medicine_English_summary_delete_3.csv,18
medicine_1,english,delete,Case_1_Medicine_English_summary_delete_1.csv,5
medicine_1,english,modify,Case_1_Medicine_English_summary_mod_3.csv,19
medicine_1,english,modify,Case_1_Medicine_English_summary_mod_2.csv,13
medicine_1,english,modify,Case_1_Medicine_English_summary_mod_1.csv,8
medicine_1,english,synonyms,Case_1_Medicine_English_summary_synonyms_3.csv,1
medicine_1,english,synonyms,Case_1_Medicine_English_summary_synonyms_2.csv,0
medicine_1,english,synonyms,Case_1_Medicine_English_summary_synonyms_1.csv,0
medicine_2,english,delete,Case_2_Medicine_English_summary_delete_2.csv,9
medicine_2,english,delete,Case_2_Medicine_English_summary_delete_3.csv,11
medicine_2,english,delete,Case_2_Medicine_English_summary_delete_1.csv,3
medicine_2,english,modify,Case_2_Medicine_English_summary_mod_3.csv,17
medicine_2,english,modify,Case_2_Medicine_English_summary_mod_1.csv,6
medicine_2,english,modify,Case_2_Medicine_English_summary_mod_2.csv,11
medicine_2,english,synonyms,Case_2_Medicine_English_summary_synonyms_3.csv,0
medicine_2,english,synonyms,Case_2_Medicine_English_summary_synonyms_1.csv,0
medicine_2,english,synonyms,Case_2_Medicine_English_summary_synonyms_2.csv,0
medicine_3,english,delete,Case_3_Medicine_English_delete_1.csv,5
medicine_3,english,delete,Case_3_Medicine_English_delete_3.csv,13
medicine_3,english,delete,Case_3_Medicine_English_delete_2.csv,9
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_1.csv,5
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_3.csv,12
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_2.csv,9
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_3.csv,0
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_2.csv,0
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_1.csv,0
medicine_5,finnish,delete,Case_5_Medicine_Finnish_summary_delete_1.csv,5
medicine_5,finnish,delete,Case_5_Medicine_Finnish_summary_delete_2.csv,9
medicine_5,finnish,delete,Case_5_Medicine_Finnish_summary_delete_3.csv,16
medicine_5,finnish,modify,Case_5_Medicine_Finnish_summary_mod_2.csv,11
medicine_5,finnish,modify,Case_5_Medicine_Finnish_summary_mod_3.csv,12
medicine_5,finnish,modify,Case_5_Medicine_Finnish_summary_mod_1.csv,5
medicine_5,finnish,synonyms,Case_5_Medicine_Finnish_summary_synonyms_3.csv,0
medicine_5,finnish,synonyms,Case_5_Medicine_Finnish_summary_synonyms_2.csv,0
medicine_5,finnish,synonyms,Case_5_Medicine_Finnish_summary_synonyms_1.csv,0
medicine_4,finnish,delete,Case_4_Medicine_Finnish_summary_delete_2.csv,10
medicine_4,finnish,delete,Case_4_Medicine_Finnish_summary_delete_1.csv,5
medicine_4,finnish,delete,Case_4_Medicine_Finnish_summary_delete_3.csv,13
medicine_4,finnish,modify,Case_4_Medicine_Finnish_summary_mod_3.csv,15
medicine_4,finnish,modify,Case_4_Medicine_Finnish_summary_mod_2.csv,11
medicine_4,finnish,modify,Case_4_Medicine_Finnish_summary_mod_1.csv,6
medicine_4,finnish,synonyms,Case_4_Medicine_Finnish_summary_synonyms_3.csv,0
medicine_4,finnish,synonyms,Case_4_Medicine_Finnish_summary_synonyms_1.csv,0
medicine_4,finnish,synonyms,Case_4_Medicine_Finnish_summary_synonyms_2.csv,0
medicine_1,finnish,delete,Case_1_Medicine_Finnish_summary_delete_2.csv,12
medicine_1,finnish,delete,Case_1_Medicine_Finnish_summary_delete_1.csv,3
medicine_1,finnish,delete,Case_1_Medicine_Finnish_summary_delete_3.csv,15
medicine_1,finnish,modify,Case_1_Medicine_Finnish_summary_mod_1.csv,4
medicine_1,finnish,modify,Case_1_Medicine_Finnish_summary_mod_2.csv,10
medicine_1,finnish,modify,Case_1_Medicine_Finnish_summary_mod_3.csv,19
medicine_1,finnish,synonyms,Case_1_Medicine_Finnish_summary_synonyms_2.csv,1
medicine_1,finnish,synonyms,Case_1_Medicine_Finnish_summary_synonyms_3.csv,0
medicine_1,finnish,synonyms,Case_1_Medicine_Finnish_summary_synonyms_1.csv,0
medicine_2,finnish,delete,Case_2_Medicine_Finnish_summary_delete_1.csv,3
medicine_2,finnish,delete,Case_2_Medicine_Finnish_summary_delete_2.csv,8
medicine_2,finnish,delete,Case_2_Medicine_Finnish_summary_delete_3.csv,11
medicine_2,finnish,modify,Case_2_Medicine_Finnish_summary_mod_3.csv,22
medicine_2,finnish,modify,Case_2_Medicine_Finnish_summary_mod_2.csv,9
medicine_2,finnish,modify,Case_2_Medicine_Finnish_summary_mod_1.csv,6
medicine_2,finnish,synonyms,Case_2_Medicine_Finnish_summary_synonyms_3.csv,1
medicine_2,finnish,synonyms,Case_2_Medicine_Finnish_summary_synonyms_2.csv,0
medicine_2,finnish,synonyms,Case_2_Medicine_Finnish_summary_synonyms_1.csv,0
medicine_3,finnish,delete,Case_3_Medicine_Finnish_delete_1.csv,5
medicine_3,finnish,delete,Case_3_Medicine_Finnish_delete_2.csv,9
medicine_3,finnish,delete,Case_3_Medicine_Finnish_delete_3.csv,11
medicine_3,finnish,modify,Case_3_Medicine_Finnish_summary_mod_2.csv,10
medicine_3,finnish,modify,Case_3_Medicine_Finnish_summary_mod_3.csv,12
medicine_3,finnish,modify,Case_3_Medicine_Finnish_summary_mod_1.csv,5
medicine_3,finnish,synonyms,Case_3_Medicine_Finnish_summary_synonyms_1.csv,0
medicine_3,finnish,synonyms,Case_3_Medicine_Finnish_summary_synonyms_3.csv,0
medicine_3,finnish,synonyms,Case_3_Medicine_Finnish_summary_synonyms_2.csv,0
medicine_5,swedish,delete,Case_5_Medicine_Swedish_summary_delete_1.csv,6
medicine_5,swedish,delete,Case_5_Medicine_Swedish_summary_delete_2.csv,13
medicine_5,swedish,delete,Case_5_Medicine_Swedish_summary_delete_3.csv,19
medicine_5,swedish,modify,Case_5_Medicine_Swedish_summary_mod_2.csv,11
medicine_5,swedish,modify,Case_5_Medicine_Swedish_summary_mod_3.csv,17
medicine_5,swedish,modify,Case_5_Medicine_Swedish_summary_mod_1.csv,6
medicine_5,swedish,synonyms,Case_5_Medicine_Swedish_summary_synonyms_2.csv,0
medicine_5,swedish,synonyms,Case_5_Medicine_Swedish_summary_synonyms_1.csv,0
medicine_5,swedish,synonyms,Case_5_Medicine_Swedish_summary_synonyms_3.csv,0
medicine_4,swedish,delete,Case_4_Medicine_Swedish_summary_delete_3.csv,15
medicine_4,swedish,delete,Case_4_Medicine_Swedish_summary_delete_1.csv,5
medicine_4,swedish,delete,Case_4_Medicine_Swedish_summary_delete_2.csv,9
medicine_4,swedish,modify,Case_4_Medicine_Swedish_summary_mod_2.csv,11
medicine_4,swedish,modify,Case_4_Medicine_Swedish_summary_mod_3.csv,17
medicine_4,swedish,modify,Case_4_Medicine_Swedish_summary_mod_1.csv,5
medicine_4,swedish,synonyms,Case_4_Medicine_Swedish_summary_synonyms_1.csv,1
medicine_4,swedish,synonyms,Case_4_Medicine_Swedish_summary_synonyms_3.csv,1
medicine_4,swedish,synonyms,Case_4_Medicine_Swedish_summary_synonyms_2.csv,1
medicine_1,swedish,delete,Case_1_Medicine_Swedish_summary_delete_1.csv,5
medicine_1,swedish,delete,Case_1_Medicine_Swedish_summary_delete_2.csv,11
medicine_1,swedish,delete,Case_1_Medicine_Swedish_summary_delete_3.csv,14
medicine_1,swedish,modify,Case_1_Medicine_Swedish_summary_mod_3.csv,13
medicine_1,swedish,modify,Case_1_Medicine_Swedish_summary_mod_2.csv,16
medicine_1,swedish,modify,Case_1_Medicine_Swedish_summary_mod_1.csv,7
medicine_1,swedish,synonyms,Case_1_Medicine_Swedish_summary_synonyms_3.csv,0
medicine_1,swedish,synonyms,Case_1_Medicine_Swedish_summary_synonyms_2.csv,0
medicine_1,swedish,synonyms,Case_1_Medicine_Swedish_summary_synonyms_1.csv,0
medicine_2,swedish,delete,Case_2_Medicine_Swedish_summary_delete_3.csv,13
medicine_2,swedish,delete,Case_2_Medicine_Swedish_summary_delete_2.csv,10
medicine_2,swedish,delete,Case_2_Medicine_Swedish_summary_delete_1.csv,5
medicine_2,swedish,modify,Case_2_Medicine_Swedish_summary_mod_2.csv,8
medicine_2,swedish,modify,Case_2_Medicine_Swedish_summary_mod_3.csv,20
medicine_2,swedish,modify,Case_2_Medicine_Swedish_summary_mod_1.csv,5
medicine_2,swedish,synonyms,Case_2_Medicine_Swedish_summary_synonyms_2.csv,0
medicine_2,swedish,synonyms,Case_2_Medicine_Swedish_summary_synonyms_3.csv,1
medicine_2,swedish,synonyms,Case_2_Medicine_Swedish_summary_synonyms_1.csv,0
medicine_3,swedish,delete,Case_3_Medicine_Swedish_summary_delete_3.csv,14
medicine_3,swedish,delete,Case_3_Medicine_Swedish_summary_delete_1.csv,5
medicine_3,swedish,delete,Case_3_Medicine_Swedish_summary_delete_2.csv,9
medicine_3,swedish,modify,Case_3_Medicine_Swedish_summary_mod_1.csv,4
medicine_3,swedish,modify,Case_3_Medicine_Swedish_summary_mod_2.csv,9
medicine_3,swedish,modify,Case_3_Medicine_Swedish_summary_mod_3.csv,12
medicine_3,swedish,synonyms,Case_3_Medicine_Swedish_summary_synonyms_2.csv,0
medicine_3,swedish,synonyms,Case_3_Medicine_Swedish_summary_synonyms_3.csv,0
medicine_3,swedish,synonyms,Case_3_Medicine_Swedish_summary_synonyms_1.csv,0
