language,type,metric,model,n_rows,n_cases,status,reml_loglike,resid_var,rand_intercept_var,estimate_lvl,se_lvl,z_or_t_lvl,p_lvl,p_lvl_fdr_bh,sig_fdr_bh
english,delete,bleu_score,,15,5,ok,20.499458668928472,0.0008611322715999797,0.0023311763242948834,-0.0831925320395567,0.009279721286762766,-8.96498175631937,3.103322322044561e-19,1.8456601178475543e-18,True
english,delete,rouge_1,,15,5,ok,25.905097817910054,0.00044278689967491364,0.0006361146710456831,-0.04763255725323399,0.006654223468406465,-7.1582443059491805,8.171683185070604e-13,2.6382862854656522e-12,True
english,delete,rouge_2,,15,5,ok,24.33006166411798,0.0005547203886671572,0.0008524824465711444,-0.0592220224348317,0.007447955348061353,-7.951447030391602,1.8434544076672764e-15,7.061367731064482e-15,True
english,delete,rouge_3,,15,5,ok,22.17744755614032,0.0007525755926058645,0.0012813044083515954,-0.07153833497588444,0.008675111484043676,-8.246387969476412,1.6325404578531305e-16,6.832484138422361e-16,True
english,delete,rouge_4,,15,5,ok,20.489128381143548,0.0009539360910677318,0.0017724637458181062,-0.08343643324875441,0.009766965194305404,-8.542718397051496,1.3110060887670332e-17,6.172653667944782e-17,True
english,delete,rouge_l_score,,15,5,ok,25.905097817910054,0.00044278689967491364,0.0006361146710456831,-0.04763255725323399,0.006654223468406465,-7.1582443059491805,8.171683185070604e-13,2.6382862854656522e-12,True
english,delete,Gemma3n E2B,,15,5,ok,-19.217064846982826,0.49259290143552403,0.5246902832687513,0.7,0.22194434019265374,3.1539439095062343,0.0016108004211045756,0.0021042826310383473,True
english,delete,Gemma3n E4B,,15,5,ok,-17.255410156244423,0.3444444180230264,0.462963071489673,1.2999999999999998,0.18559213830952712,7.004607047696622,2.4767999045691462e-12,7.564280789630096e-12,True
english,delete,DeepSeek R1,,15,5,ok,-22.733380237165868,1.31531633995487,7.889590054789176e-05,2.5,0.3626729022073292,6.893263833013985,5.4526609576104955e-12,1.621449179499963e-11,True
english,delete,gpt 3.5,,15,5,ok,-33.74319459592859,4.9814817484919685,3.728394322817515,3.4999999999999987,0.7057961283892088,4.958939074924956,7.0879189409624e-07,1.4302407863013415e-06,True
english,delete,gpt 4,,15,5,ok,-31.00214054721198,3.796272762791494,1.2568331483869106,3.5,0.6161390072695848,5.680536305451951,1.342730457249661e-08,3.128423539571375e-08,True
english,delete,gpt-4.1,,15,5,ok,-22.924022147645623,1.203709433387712,0.18764610413069627,2.5,0.3469451589787227,7.205749771402111,5.772532488431536e-13,1.9185181505669515e-12,True
english,delete,gpt-4o,,15,5,ok,-33.268453366837925,6.358375330902074,0.3349017036132363,3.4,0.797394214357119,4.263888474211181,2.008997460594813e-05,3.439647167382028e-05,True
