case,language,type,file,bertscore_model,bertscore_precision,bertscore_recall,bertscore_f1,bleurt,bleurt_source,device_bleurt,device_bertscore
medicine_3,english,original,Case_3_Medicine_English_summary.csv,roberta-large,1.0,1.0,1.0,0.746316134929657,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,delete,Case_3_Medicine_English_delete_1.csv,roberta-large,0.8638239502906799,0.8618558049201965,0.8630625009536743,0.34543290734291077,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,delete,Case_3_Medicine_English_delete_2.csv,roberta-large,0.7322381734848022,0.7191159725189209,0.7261151075363159,0.053890760987997055,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,delete,Case_3_Medicine_English_delete_3.csv,roberta-large,0.7316113114356995,0.684786319732666,0.7085753083229065,0.053890760987997055,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_1.csv,roberta-large,0.8775724172592163,0.8556967377662659,0.866830050945282,0.5986619591712952,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_2.csv,roberta-large,0.8849356770515442,0.8757341504096985,0.8805256485939026,0.5986619591712952,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_3.csv,roberta-large,0.8259469866752625,0.8054897785186768,0.815999448299408,0.4175928235054016,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_1.csv,roberta-large,0.9350021481513977,0.9372793436050415,0.9362443685531616,0.6787217259407043,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_2.csv,roberta-large,0.9291292428970337,0.9367384910583496,0.9330404996871948,0.6787217259407043,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_3.csv,roberta-large,0.9264145493507385,0.9322108626365662,0.9294262528419495,0.538455069065094,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_4,english,original,Case_4_Medicine_English_summary.csv,roberta-large,1.0,1.0,1.0,0.8820667862892151,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_4,english,delete,Case_4_Medicine_English_summary_delete_1.csv,roberta-large,0.839483916759491,0.8252449631690979,0.8326277136802673,0.5513136982917786,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
